60-70	70-80	80-90	90-100	100-150	150-200	>200
62895	75007	88831	96223	100837	156485	228884
65794	76361	89842	93012	106434	158156	278389
63800	78247	82026	90829	106434	158156	206236
65963	71585	89232	90829	101246	163622	202543
64673	79368	88770	95858	124038	182534	205461
66475	70118	87676	92230	144525	199284	244457
67548	79537	86153	97019	143402	182777	202196
67167	79916	87366	94771	115738	178510	214783
69319	78651	81460	90705	114455	173845	200209
69319	75653	88358	90714	106777	196225	266835
63761	70346	85574	92560	100653	186947	393925
67965	70071	83283	92560	134595	170912	393925
69961	71754	83283	95161	115766	180310	384755
69961	74161	81127	95161	143729	193269	384755
69166	77534	81304	91198	140672	160557	205631
69166	77863	82939	91198	115136	176913	238971
66222	77807	80683	90124	117562	176913	476681
62409	77807	89184	91382	111287	195613	721753
66971	77571	83253	98583	133971	160377	673835
63369	77571	84955	94069	102191	163702	202572
68626	79961	84870	98486	108553	163702	216198
68626	71227	81655	95753	138308	177385	391585
68476	72948	80998	92568	108055	179284	308717
63745	73752	85476	93918	100413	167053	336458
63451	74546	81170	92090	116030	153961	240221
63946	78282	89073	93953	117728	153961	299749
68781	77124		    99449	105734	193746	217067
65445	73474		    95087	144561	197147	369681
62956	76692		    98848	127102	195943	256634
66237	74097		    90159	127102	195943	313642
69263	74097		    92700	117193	161753	202863
62559	71029		    99738	117193	162779	224000
62559	76490		    94841	124056	177427	536796
63985	71289		    96353	111277	194444	800929
63985	71289		    93870	139212	176079	630778
68728	74623		    95124	107609	188094	630778
63841	77131		    93490	135881	183830	250132
67300	71193		    97827	127754	178435	221949
63719	78456		    92386	141283	185775	207107
64522	74911		    90659	144001	185775	208568
65798	75013		    98814	134056	196124	442309
62622	77516			        102732	196124	357658
63150	71852			        107506	198146	540524
68485	71852			        105802	188427	438175
69090	70174			        116959	188427	418930
64573	70442			        116956	191303	512001
65239	76513			        136753	191303	206026
65225				            111870	165079	206026
65243				            140110	169281	698231
62447				            108496	184253	531143
66939				            137213	197705	650255
68538				            145761	199199	208858
62577				            108083	173426	265669
62190				            130599	173760	220298
66813				            122080	195891	273790
67447				            145043	166453	207485
62344				            113231	150768	207485
63068				            113212	180800	313282
68490				            113212		    262603
64728				            130568		    240706
64728				            113617		    830572
62217				            127108		    460025
62840				            111272		    715419
68352						                    239816
69838						                    672333
65552						                    550562
66488						                    550562
69073						                    599963
63890						                    257757
64988						                    486352
64988						                    652841
64861						                    459808
68992						                    489474
						                        823633
						                        632063
						                        784612
						                        550243
						                        550243
						                        529992
						                        749904
						                        567860
						                        567860
						                        318532
						                        442556
						                        252647
						                        236539
						                        386574
						                        265454
						                        305382
						                        279865
						                        303596
						                        394666
						                        394666
						                        251936
						                        301608
						                        536139
						                        536139
						                        243352
						                        267750
						                        203985
						                        259066
						                        290815
						                        284977
						                        284977
						                        217318
						                        217318
						                        332546
						                        538608
						                        288760
